s2_virtual_provider.id,s2_virtual_provider.gmt_create,s2_virtual_provider.gmt_modified,s2_virtual_provider.provider_name,s2_virtual_provider.logo_url,s2_virtual_provider.belong_type,s2_virtual_provider.apply_member_id,s2_virtual_provider.site_id,s2_virtual_provider.data_sync_way,s2_virtual_provider.external_id,s2_virtual_provider.epay_account,s2_virtual_provider.contact_email,s2_virtual_provider.contact_name,s2_virtual_provider.contact_phone_number,s2_virtual_provider.fee_rate,s2_virtual_provider.provider_type,s2_virtual_provider.main_category_id,s2_virtual_provider.protocol_confirm,s2_virtual_provider.protocol_confirm_time,s2_virtual_provider.day
400000000008007,1505113255674,1505113255676,宁波凯信服饰股份有限公司,NULL,4,NULL,400000000029004,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000029002,1497409006769,NULL,上海网之易网络科技发展有限公司,NULL,4,NULL,400000000029002,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000030003,1506815809282,1506815809284,重庆璞润控股(集团)有限公司,NULL,4,NULL,400000000030003,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000030004,1503626950155,1503626950157,西交利物浦大学图书馆,NULL,4,NULL,400000000030004,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000037001,1503627480048,1503627480050,重庆长安民生物流股份有限公司,NULL,4,NULL,400000000037001,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000042003,1503626971251,1503626971253,青岛远洋运输有限公司,NULL,4,NULL,400000000042003,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000043004,1503626990551,1503626990552,上海透云物联网科技有限公司,NULL,4,NULL,400000000043004,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000052001,1503626978235,1503626978237,长安汽车股份,NULL,4,NULL,400000000051001,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000052009,1503627010802,1503627010804,重庆财沃旅游发展有限公司,NULL,4,NULL,400000000051009,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000054003,1503627027881,1503627027882,汽车平台演示,NULL,4,NULL,400000000053003,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000055001,1503627044158,1503627044159,广汽三菱汽车有限公司,NULL,4,NULL,400000000054001,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000056001,1503627061407,1503627061409,杭州碧游信息技术有限公司,NULL,4,NULL,400000000055001,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000062002,1505266469228,1505266469229,网易校园俱乐部,NULL,4,NULL,400000000059002,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000070001,1503627146005,1503627146006,浙江日报报业集团,NULL,4,NULL,400000000067001,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000071001,1503627164700,1503627164702,杭州市水务控股集团有限公司,NULL,4,NULL,400000000068001,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000073001,1503627181219,1503627181221,杭州橙群网络科技有限公司,NULL,4,NULL,400000000070001,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000073002,1503627221959,1503627221960,四海内校,NULL,4,NULL,400000000070002,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000074001,1503627245912,1503627245914,北京五八信息技术有限公司,NULL,4,NULL,400000000071001,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000075002,1503627261432,1503627261433,北京众合天下管理咨询有限公司,NULL,4,NULL,400000000072002,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000078002,1503627320491,1503627320492,晋能清洁能源科技有限公司,NULL,4,NULL,400000000075002,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000078003,1503627336845,1503627336846,南方英特空调有限公司,NULL,4,NULL,400000000075003,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000082001,1503627352653,1503627352655,北京项目管理协会自学考试职业能力培养考核平台,NULL,4,NULL,400000000079001,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000087001,1503627379535,1503627379537,山东卓创集团有限公司,NULL,4,NULL,400000000084001,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
400000000090002,1503627398162,1503627398164,网易传媒科技（北京）有限公司,NULL,4,NULL,400000000087002,0,NULL,,,NULL,,NULL,0,NULL,NULL,NULL,2017-10-21
